date,wl
06/02/2023 15:00,1.152
06/02/2023 15:06,1.128
06/02/2023 15:12,1.091
06/02/2023 15:18,1.082
06/02/2023 15:24,1.064
06/02/2023 15:30,1.018
06/02/2023 15:36,0.985
06/02/2023 15:42,0.936
06/02/2023 15:48,0.878
06/02/2023 15:54,0.835
06/02/2023 16:00,0.786
06/02/2023 16:06,0.756
06/02/2023 16:12,0.701
06/02/2023 16:18,0.643
06/02/2023 16:24,0.579
06/02/2023 16:30,0.518
06/02/2023 16:36,0.457
06/02/2023 16:42,0.396
06/02/2023 16:48,0.338
06/02/2023 16:54,0.265
06/02/2023 17:00,0.195
06/02/2023 17:06,0.116
06/02/2023 17:12,0.061
06/02/2023 17:18,-0.018
06/02/2023 17:24,-0.091
06/02/2023 17:30,-0.143
06/02/2023 17:36,-0.201
06/02/2023 17:42,-0.287
06/02/2023 17:48,-0.344
06/02/2023 17:54,-0.396
06/02/2023 18:00,-0.463
06/02/2023 18:06,-0.518
06/02/2023 18:12,-0.561
06/02/2023 18:18,-0.616
06/02/2023 18:24,-0.664
06/02/2023 18:30,-0.728
06/02/2023 18:36,-0.774
06/02/2023 18:42,-0.82
06/02/2023 18:48,-0.869
06/02/2023 18:54,-0.905
06/02/2023 19:00,-0.945
06/02/2023 19:06,-0.991
06/02/2023 19:12,-1.024
06/02/2023 19:18,-1.042
06/02/2023 19:24,-1.07
06/02/2023 19:30,-1.1
06/02/2023 19:36,-1.119
06/02/2023 19:42,-1.14
06/02/2023 19:48,-1.158
06/02/2023 19:54,-1.164
06/02/2023 20:00,-1.164
06/02/2023 20:06,-1.173
06/02/2023 20:12,-1.189
06/02/2023 20:18,-1.195
06/02/2023 20:24,-1.183
06/02/2023 20:30,-1.189
06/02/2023 20:36,-1.161
06/02/2023 20:42,-1.131
06/02/2023 20:48,-1.103
06/02/2023 20:54,-1.094
06/02/2023 21:00,-1.073
06/02/2023 21:06,-1.042
06/02/2023 21:12,-1.012
06/02/2023 21:18,-0.972
06/02/2023 21:24,-0.92
06/02/2023 21:30,-0.887
06/02/2023 21:36,-0.853
06/02/2023 21:42,-0.805
06/02/2023 21:48,-0.82
06/02/2023 21:54,-0.692
06/02/2023 22:00,-0.628
06/02/2023 22:06,-0.555
06/02/2023 22:12,-0.488
06/02/2023 22:18,-0.439
06/02/2023 22:24,-0.381
06/02/2023 22:30,-0.314
06/02/2023 22:36,-0.244
06/02/2023 22:42,-0.183
06/02/2023 22:48,-0.082
06/02/2023 22:54,-0.003
06/02/2023 23:00,0.082
06/02/2023 23:06,0.143
06/02/2023 23:12,0.223
06/02/2023 23:18,0.299
06/02/2023 23:24,0.366
06/02/2023 23:30,0.433
06/02/2023 23:36,0.512
06/02/2023 23:42,0.585
06/02/2023 23:48,0.68
06/02/2023 23:54,0.75
06/03/2023 00:00,0.817
06/03/2023 00:06,0.872
06/03/2023 00:12,0.942
06/03/2023 00:18,1.006
06/03/2023 00:24,1.064
06/03/2023 00:30,1.152
06/03/2023 00:36,1.186
06/03/2023 00:42,1.222
06/03/2023 00:48,1.314
06/03/2023 00:54,1.353
06/03/2023 01:00,1.396
06/03/2023 01:06,1.457
06/03/2023 01:12,1.49
06/03/2023 01:18,1.506
06/03/2023 01:24,1.567
06/03/2023 01:30,1.609
06/03/2023 01:36,1.618
06/03/2023 01:42,1.628
06/03/2023 01:48,1.664
06/03/2023 01:54,1.682
06/03/2023 02:00,1.682
06/03/2023 02:06,1.707
06/03/2023 02:12,1.734
06/03/2023 02:18,1.734
06/03/2023 02:24,1.719
06/03/2023 02:30,1.716
06/03/2023 02:36,1.701
06/03/2023 02:42,1.701
06/03/2023 02:48,1.704
06/03/2023 02:54,1.701
06/03/2023 03:00,1.692
06/03/2023 03:06,1.661
06/03/2023 03:12,1.603
06/03/2023 03:18,1.579
06/03/2023 03:24,1.57
06/03/2023 03:30,1.533
06/03/2023 03:36,1.487
06/03/2023 03:42,1.445
06/03/2023 03:48,1.399
06/03/2023 03:54,1.332
06/03/2023 04:00,1.283
06/03/2023 04:06,1.247
06/03/2023 04:12,1.201
06/03/2023 04:18,1.125
06/03/2023 04:24,1.045
06/03/2023 04:30,0.972
06/03/2023 04:36,0.905
06/03/2023 04:42,0.814
06/03/2023 04:48,0.756
06/03/2023 04:54,0.698
06/03/2023 05:00,0.622
06/03/2023 05:06,0.555
06/03/2023 05:12,0.469
06/03/2023 05:18,0.381
06/03/2023 05:24,0.299
06/03/2023 05:30,0.21
06/03/2023 05:36,0.116
06/03/2023 05:42,0.058
06/03/2023 05:48,-0.027
06/03/2023 05:54,-0.134
06/03/2023 06:00,-0.198
06/03/2023 06:06,-0.271
06/03/2023 06:12,-0.36
06/03/2023 06:18,-0.421
06/03/2023 06:24,-0.488
06/03/2023 06:30,-0.561
06/03/2023 06:36,-0.646
06/03/2023 06:42,-0.713
06/03/2023 06:48,-0.78
06/03/2023 06:54,-0.856
06/03/2023 07:00,-0.92
06/03/2023 07:06,-0.981
06/03/2023 07:12,-1.027
06/03/2023 07:18,-1.1
06/03/2023 07:24,-1.14
06/03/2023 07:30,-1.195
06/03/2023 07:36,-1.247
06/03/2023 07:42,-1.314
06/03/2023 07:48,-1.338
06/03/2023 07:54,-1.366
06/03/2023 08:00,-1.393
06/03/2023 08:06,-1.423
06/03/2023 08:12,-1.433
06/03/2023 08:18,-1.46
06/03/2023 08:24,-1.475
06/03/2023 08:30,-1.478
06/03/2023 08:36,-1.497
06/03/2023 08:42,-1.512
06/03/2023 08:48,-1.509
06/03/2023 08:54,-1.542
06/03/2023 09:00,-1.542
06/03/2023 09:06,-1.518
06/03/2023 09:12,-1.506
06/03/2023 09:18,-1.506
06/03/2023 09:24,-1.487
06/03/2023 09:30,-1.469
06/03/2023 09:36,-1.451
06/03/2023 09:42,-1.439
06/03/2023 09:48,-1.42
06/03/2023 09:54,-1.375
06/03/2023 10:00,-1.329
06/03/2023 10:06,-1.314
06/03/2023 10:12,-1.268
06/03/2023 10:18,-1.195
